tx_count,avg_value,max_value,median_gas_price,unique_receivers,unique_senders,tx_per_day,in_tx_count,out_tx_count,in_out_ratio,self_tx_ratio,max_tx_in_1h,max_tx_in_5min,tx_time_std,zero_value_tx_ratio,high_value_tx_ratio,short_time_repeated_tx
18,0.0009876673931540597,0.00390307,0.003046385,3,3,0.3483293540049365,8,10,0.8,0.0,3,2,1074640.6037426845,0.0,0.05555555555555555,0.8333333333333334
2,3.80815860742e-07,6.61631721484e-07,0.002482936,2,1,43200.0,0,2,0.0,0.0,2,2,,0.0,0.5,0.0
112,0.0032287963058346505,0.102438,0.0179255145,65,3,0.18364379207578405,6,106,0.05660377358490566,0.0,20,14,1173568.718105187,0.6339285714285714,0.017857142857142856,0.41964285714285715
20389,6.554e-18,8.4e-17,0.0012416185,1,1,4591.063945124367,0,1000,0.0,0.0,23,5,478.59503828350324,0.0,0.00039236843395948795,0.04899700819069106
21044,1e-07,0.0001,0.003793725,5,1,1100.1467909892356,0,1000,0.0,0.0,247,41,12249.119321888815,0.04747196350503707,4.7519482988025094e-05,0.047281885573084964
25066,0.0,0.0,0.002978419,1,1,10404.02767102229,0,1000,0.0,0.0,55,17,379.40989995624767,0.03989467804994814,0.0,0.03985478337189819
87,15.98695057643678,300.0,0.001883419,13,3,0.5385659134949996,3,84,0.03571428571428571,0.0,34,6,964921.4607322646,0.8735632183908046,0.011494252873563218,0.8505747126436781
11486,0.1666919975645296,1.4020041601276,0.002854888,119,2,740.4064067708598,393,607,0.6474464579901154,0.0,8,4,3458.389572979683,0.01854431481803935,0.0008706251088281386,0.076702072087759
17,0.0001683515165051626,0.001,0.002907365,8,3,0.4431036563291903,2,15,0.13333333333333333,0.0,2,2,569153.4008631886,0.4117647058823529,0.058823529411764705,0.47058823529411764
2,3.90417015442e-07,7.80834029996e-07,0.001766454,2,1,28800.0,0,2,0.0,0.0,2,2,,0.0,0.5,0.0
2,2.65e-17,5.3e-17,0.0021762435,2,1,1878.2608695652173,0,2,0.0,0.0,1,1,,0.5,0.5,0.0
2,4.6e-17,9.2e-17,0.002212781,2,1,1878.2608695652173,0,2,0.0,0.0,2,2,,0.5,0.5,0.0
1807,3.5255811169233504e-07,5.072976840648e-05,0.0011620665,2,2,3996.846039629307,7,993,0.007049345417925478,0.0,174,18,155.2126887412283,0.5495296070835639,0.00387382401770891,0.5522966242390703
139,0.0024922870523424326,0.051,0.004702941,42,4,0.4370117704544149,4,135,0.02962962962962963,0.0,6,3,540088.2667990753,0.6330935251798561,0.014388489208633094,0.697841726618705
