tx_count,avg_value,max_value,median_gas_price,unique_receivers,unique_senders,tx_per_day,in_tx_count,out_tx_count,in_out_ratio,self_tx_ratio,max_tx_in_1h,max_tx_in_5min,tx_time_std,zero_value_tx_ratio,high_value_tx_ratio,short_time_repeated_tx
4,0.0021396817128255443,0.005882916851302178,1.4635230645,1,2,0.02376472918110704,4,0,4.0,0.0,1,1,5993576.463018388,0.0,0.25,0.75
2,0.007479,0.0075,2.4249766305,2,2,2.0210526315789474,1,1,1.0,0.0,1,1,,0.0,0.5,0.0
2,0.01064040960050253,0.01066140960050253,3.066685033,2,2,2.0393711938818866,1,1,1.0,0.0,1,1,,0.0,0.5,0.0
130,0.6666175612100985,5.956782917091729,9.065486517,3,7,0.19439195815422344,74,56,1.3214285714285714,0.0,3,2,1522829.7004615443,0.007692307692307693,0.015384615384615385,0.9769230769230769
2,0.01108276,0.01110376,1.914252838,2,2,2.7027027027027026,1,1,1.0,0.0,1,1,,0.0,0.5,0.0
1223,1.8976904391062013,150.0,33.969057381,154,15,0.8307429157242008,39,961,0.04058272632674298,0.0,14,5,765824.5973061718,0.4349959116925593,0.008176614881439084,0.6917416189697465
597,0.25295333905268264,17.89,13.0,92,19,1.130009151223375,67,530,0.12641509433962264,0.0,9,7,251845.0136803589,0.8710217755443886,0.010050251256281407,0.8458961474036851
12,0.008938339920778216,0.0895,0.7158100045,4,3,0.73139142138812,2,10,0.2,0.0,2,2,173290.04096820924,0.75,0.08333333333333333,0.6666666666666666
84,0.00045786190476190477,0.02956,0.5038155165,37,2,11.174133949191686,1,83,0.012048192771084338,0.0,21,5,50806.768871522094,0.6071428571428571,0.011904761904761904,0.5595238095238095
34,0.001367309747784016,0.01407441,2.553107758,2,3,0.9749492213947191,4,30,0.13333333333333333,0.0,2,1,153402.37659116686,0.8823529411764706,0.029411764705882353,0.9411764705882353
1,0.0119,0.0119,2.858073704,1,1,0.0,1,0,1.0,0.0,1,1,,0.0,0.0,0.0
1,0.0,0.0,1.03285257,1,1,0.0,0,1,0.0,0.0,1,1,,1.0,0.0,0.0
2,0.01178471,0.01180571,1.817046019,2,2,130.9090909090909,1,1,1.0,0.0,2,1,,0.0,0.5,0.0
2,0.003779,0.0038,3.024534398,2,2,2.0336110718825027,1,1,1.0,0.0,1,1,,0.0,0.5,0.0
175,0.04178489257726205,0.441,8.538245796,13,13,0.9985513081022136,50,125,0.4,0.0,5,3,166616.13303349252,0.16,0.011428571428571429,0.9257142857142857
3,0.270775084,0.6061091299,2.533600379,2,2,234.78260869565216,2,1,2.0,0.0,3,1,424.26406871192853,0.0,0.3333333333333333,0.3333333333333333
2,0.0179423,0.0358846,1.1808349845,2,2,334.8837209302325,1,1,1.0,0.0,2,1,,0.5,0.5,0.0
233,0.007202622519667543,0.1181079343,0.53215497,1,233,14.103641927564984,233,0,233.0,0.0,5,2,7692.309780376581,0.0,0.012875536480686695,0.9957081545064378
8,0.02767198825205714,0.15601872443299428,0.965833196,8,2,14.454203262233374,1,7,0.14285714285714285,0.0,7,6,17752.656203670318,0.25,0.125,0.0
528,0.00799026050861584,0.3,15.0964689045,91,7,0.48476777059426196,17,512,0.033203125,0.001893939393939394,16,12,346407.7128577589,0.8352272727272727,0.007575757575757576,0.8257575757575758
37546,1.29860504358e-10,8.084662863e-09,1.3377238735,1,1,17876.682978442004,0,1000,0.0,0.0,38,10,199.84699196874712,0.0,0.00026633995632024715,0.02660736163639269
112748,0.1086842448397966,7.687053367899403,0.5670889755,119,437,152448.0,799,201,3.9751243781094527,0.0,78,12,70.74353679807155,0.0004966828679887892,8.869336928371235e-05,0.007813885833895058
9,0.004175463218230342,0.005815218907832686,1.403711611,5,3,0.5997390024711468,5,4,1.25,0.0,2,2,287629.55607268773,0.0,0.1111111111111111,0.4444444444444444
25,0.040312598450261666,0.307,41.769584439,8,4,0.019160661543839077,7,19,0.3684210526315789,0.04,4,3,9620091.863341885,0.32,0.04,0.68
123,0.04502706306612394,0.34,19.896176589,12,3,0.3289336843544045,32,91,0.3516483516483517,0.0,6,4,1620736.8194489046,0.25203252032520324,0.016260162601626018,0.9024390243902439
1,1e-06,1e-06,0.974755103,1,1,0.0,0,1,0.0,0.0,1,1,,0.0,0.0,0.0
2,0.15988965,0.15991065,1.923788975,2,2,14400.0,1,1,1.0,0.0,2,2,,0.0,0.5,0.0
16,0.001485764879169821,0.019552238066717135,1.676553544,3,2,0.3847926729061868,1,15,0.06666666666666667,0.0,2,2,318486.12125240243,0.875,0.0625,0.8125
1,0.003171401834140875,0.003171401834140875,1.94421538,1,1,0.0,1,0,1.0,0.0,1,1,,0.0,0.0,0.0
26532,0.0,0.0,0.667415599,1,1,1592.8225994730346,0,1000,0.0,0.0,9,4,1721.3461276619141,0.037690336197798886,0.0,0.03765264586160109
41,1.0685539473439802,7.7960256370303425,2.0,14,20,1.9522905685583338,25,16,1.5625,0.0,4,2,91670.02313364536,0.024390243902439025,0.024390243902439025,0.6585365853658537
120,0.03564434673600419,0.42,26.8808914955,49,6,0.10629905348115763,27,93,0.2903225806451613,0.0,4,2,1820996.831609493,0.425,0.016666666666666666,0.5916666666666667
7,0.019253754714285715,0.05,1.143575095,1,2,0.27972804218121267,7,0,7.0,0.0,1,1,717899.3699587708,0.0,0.14285714285714285,0.8571428571428571
2250,0.021955245868261752,1.2,12.17509096,279,5,8.48140452058861,4,996,0.004016064257028112,0.0,39,6,84883.1353379015,0.2688888888888889,0.0044444444444444444,0.3204444444444444
5954,0.0006870782201740318,0.11551678238642088,0.458010451,1,1,492.0943580324858,0,1000,0.0,0.0,27,6,3154.8293619383344,0.0,0.0016795431642593216,0.1677863621095062
1,0.005621611609512587,0.005621611609512587,1.887087793,1,1,0.0,1,0,1.0,0.0,1,1,,0.0,0.0,0.0
10,0.0520709341281267,0.242474555604223,4.283536481,2,5,0.05843776378157262,6,4,1.5,0.0,1,1,4525083.942234,0.0,0.1,0.8
10,0.018492805063648664,0.03,1.0,2,2,5.036021542981045,5,5,1.0,0.0,2,2,33894.746200554444,0.0,0.1,0.8
3,0.021769727350168668,0.03267514,0.978522607,3,2,899.9999999999999,1,2,0.5,0.0,3,2,203.64675298172568,0.0,0.3333333333333333,0.0
39,0.02279774701903744,0.11203057,3.187131734,19,3,0.57486442166551,12,27,0.4444444444444444,0.0,5,3,370633.503537341,0.23076923076923078,0.02564102564102564,0.5128205128205128
96,0.02083333333541667,2.0,1.4001545795,3,3,3.055932585561249,3,93,0.03225806451612903,0.0,3,2,35505.814112699896,0.96875,0.010416666666666666,0.96875
